Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,7350.000000,7400.000000,7275.000000,7300.000000,7071.314453,41175000
2018-11-26,7250.000000,7400.000000,7250.000000,7375.000000,7143.964844,31467400
2018-11-27,7375.000000,7500.000000,7350.000000,7450.000000,7216.615723,30514400
2018-11-28,7500.000000,7500.000000,7325.000000,7400.000000,7168.182129,33837500
2018-11-29,7500.000000,7650.000000,7500.000000,7650.000000,7410.350098,70601300
2018-11-30,7575.000000,7625.000000,7400.000000,7400.000000,7168.182129,74241400
2018-12-03,7550.000000,7725.000000,7550.000000,7600.000000,7361.916504,68342300
2018-12-04,7575.000000,7650.000000,7550.000000,7650.000000,7410.350098,30076600
2018-12-05,7600.000000,7600.000000,7525.000000,7575.000000,7337.699707,36661200
2018-12-06,7400.000000,7525.000000,7400.000000,7475.000000,7240.832520,37046000
2018-12-07,7575.000000,7625.000000,7475.000000,7500.000000,7265.049316,20846400
2018-12-10,7375.000000,7525.000000,7350.000000,7425.000000,7192.398926,20552600
2018-12-11,7450.000000,7475.000000,7400.000000,7450.000000,7216.615723,27828700
2018-12-12,7475.000000,7550.000000,7425.000000,7475.000000,7240.832520,40315700
2018-12-13,7500.000000,7700.000000,7450.000000,7700.000000,7458.783691,46460000
2018-12-14,7650.000000,7650.000000,7525.000000,7575.000000,7337.699707,34378200
2018-12-17,7450.000000,7575.000000,7400.000000,7400.000000,7168.182129,39342500
2018-12-18,7250.000000,7350.000000,7250.000000,7350.000000,7119.748047,49304400
2018-12-19,7350.000000,7475.000000,7350.000000,7425.000000,7192.398926,44775000
2018-12-20,7425.000000,7425.000000,7275.000000,7300.000000,7071.314453,30608000
2018-12-21,7250.000000,7300.000000,7175.000000,7225.000000,6998.664063,49103700
2018-12-24,7225.000000,7225.000000,7225.000000,7225.000000,6998.664063,0
2018-12-25,7225.000000,7225.000000,7225.000000,7225.000000,6998.664063,0
2018-12-26,7150.000000,7250.000000,7100.000000,7225.000000,6998.664063,26178400
2018-12-27,7325.000000,7350.000000,7250.000000,7275.000000,7047.097656,24257200
2018-12-28,7350.000000,7450.000000,7325.000000,7375.000000,7143.964844,48540800
2018-12-31,7375.000000,7375.000000,7375.000000,7375.000000,7143.964844,0
2019-01-01,7375.000000,7375.000000,7375.000000,7375.000000,7143.964844,0
2019-01-02,7400.000000,7400.000000,7250.000000,7325.000000,7095.531250,22659600
2019-01-03,7275.000000,7350.000000,7100.000000,7175.000000,6950.230469,37087000
2019-01-04,7175.000000,7450.000000,7150.000000,7450.000000,7216.615723,39257000
2019-01-07,7500.000000,7575.000000,7425.000000,7425.000000,7192.398926,26812400
2019-01-08,7425.000000,7475.000000,7350.000000,7350.000000,7119.748047,40036600
2019-01-09,7500.000000,7575.000000,7400.000000,7575.000000,7337.699707,52451700
2019-01-10,7625.000000,7700.000000,7550.000000,7700.000000,7458.783691,65301600
2019-01-11,7750.000000,7800.000000,7675.000000,7700.000000,7458.783691,44449700
2019-01-14,7750.000000,7750.000000,7650.000000,7700.000000,7458.783691,35660000
2019-01-15,7750.000000,7800.000000,7650.000000,7800.000000,7555.651367,43348600
2019-01-16,7800.000000,7825.000000,7675.000000,7800.000000,7555.651367,39312800
2019-01-17,7800.000000,8050.000000,7800.000000,7875.000000,7628.301758,50980600
2019-01-18,7900.000000,7925.000000,7825.000000,7875.000000,7628.301758,28395000
2019-01-21,7825.000000,7900.000000,7800.000000,7800.000000,7555.651367,55812200
2019-01-22,7725.000000,7800.000000,7650.000000,7750.000000,7507.217285,61779000
2019-01-23,7575.000000,7700.000000,7475.000000,7475.000000,7240.832520,81098000
2019-01-24,7475.000000,7500.000000,7425.000000,7475.000000,7240.832520,89910700
2019-01-25,7475.000000,7525.000000,7300.000000,7375.000000,7143.964844,71592400
2019-01-28,7375.000000,7425.000000,7075.000000,7175.000000,6950.230469,103506700
2019-01-29,7175.000000,7250.000000,7050.000000,7125.000000,6901.796875,81293900
2019-01-30,7125.000000,7325.000000,7125.000000,7250.000000,7022.880859,87782600
2019-01-31,7325.000000,7475.000000,7275.000000,7450.000000,7216.615723,107004300
2019-02-01,7500.000000,7625.000000,7475.000000,7600.000000,7361.916504,52147700
2019-02-04,7500.000000,7600.000000,7350.000000,7350.000000,7119.748047,40459600
2019-02-05,7350.000000,7350.000000,7350.000000,7350.000000,7119.748047,0
2019-02-06,7450.000000,7525.000000,7425.000000,7475.000000,7240.832520,30140700
2019-02-07,7475.000000,7550.000000,7425.000000,7550.000000,7313.482910,15811400
2019-02-08,7500.000000,7575.000000,7425.000000,7575.000000,7337.699707,23414200
2019-02-11,7600.000000,7625.000000,7525.000000,7625.000000,7386.133301,36179100
2019-02-12,7675.000000,7675.000000,7375.000000,7425.000000,7192.398926,41322100
2019-02-13,7425.000000,7475.000000,7250.000000,7250.000000,7022.880859,37523200
2019-02-14,7350.000000,7375.000000,7175.000000,7175.000000,6950.230469,47849500
2019-02-15,7150.000000,7225.000000,7100.000000,7175.000000,6950.230469,46001400
2019-02-18,7300.000000,7300.000000,7175.000000,7275.000000,7047.097656,43108400
2019-02-19,7275.000000,7325.000000,7125.000000,7200.000000,6974.447266,46357100
2019-02-20,7250.000000,7250.000000,6950.000000,7100.000000,6877.580078,96440600
2019-02-21,7125.000000,7325.000000,7100.000000,7325.000000,7095.531250,50101900
2019-02-22,7275.000000,7300.000000,7050.000000,7100.000000,6877.580078,83798400
2019-02-25,7150.000000,7250.000000,7125.000000,7250.000000,7022.880859,45760000
2019-02-26,7275.000000,7275.000000,7150.000000,7275.000000,7047.097656,47045500
2019-02-27,7200.000000,7275.000000,7150.000000,7200.000000,6974.447266,36178400
2019-02-28,7225.000000,7250.000000,7100.000000,7125.000000,6901.796875,42490100
2019-03-01,7150.000000,7225.000000,7125.000000,7175.000000,6950.230469,23501600
2019-03-04,7175.000000,7175.000000,7100.000000,7100.000000,6877.580078,14829900
2019-03-05,7050.000000,7125.000000,6800.000000,6950.000000,6732.278809,111556600
2019-03-06,7000.000000,7075.000000,6875.000000,7075.000000,6853.363281,47488800
2019-03-07,7075.000000,7075.000000,7075.000000,7075.000000,6853.363281,0
2019-03-08,7050.000000,7050.000000,6900.000000,6900.000000,6683.845215,35761700
2019-03-11,6950.000000,6950.000000,6825.000000,6850.000000,6635.411621,26956200
2019-03-12,6825.000000,6875.000000,6675.000000,6725.000000,6514.327637,30254800
2019-03-13,6800.000000,6800.000000,6650.000000,6700.000000,6490.110840,27865300
2019-03-14,6800.000000,6925.000000,6725.000000,6900.000000,6683.845215,22106100
2019-03-15,6925.000000,7100.000000,6925.000000,7100.000000,6877.580078,35872200
2019-03-18,7150.000000,7225.000000,7025.000000,7100.000000,6877.580078,26070100
2019-03-19,7175.000000,7400.000000,7150.000000,7375.000000,7143.964844,79348000
2019-03-20,7400.000000,7450.000000,7300.000000,7400.000000,7168.182129,25826400
2019-03-21,7500.000000,7525.000000,7450.000000,7475.000000,7240.832520,34414900
2019-03-22,7475.000000,7500.000000,7425.000000,7450.000000,7216.615723,22629700
2019-03-25,7250.000000,7325.000000,7175.000000,7175.000000,6950.230469,22875800
2019-03-26,7275.000000,7350.000000,7275.000000,7300.000000,7071.314453,14399700
2019-03-27,7425.000000,7425.000000,7225.000000,7225.000000,6998.664063,19453300
2019-03-28,7300.000000,7375.000000,7250.000000,7375.000000,7143.964844,23934300
2019-03-29,7400.000000,7500.000000,7325.000000,7475.000000,7240.832520,35570100
2019-04-01,7500.000000,7525.000000,7450.000000,7500.000000,7265.049316,28945300
2019-04-02,7525.000000,7525.000000,7325.000000,7425.000000,7192.398926,18436400
2019-04-03,7425.000000,7425.000000,7425.000000,7425.000000,7192.398926,0
2019-04-04,7500.000000,7700.000000,7500.000000,7675.000000,7434.566895,59541700
2019-04-05,7675.000000,7675.000000,7550.000000,7550.000000,7313.482910,20267100
2019-04-08,7600.000000,7600.000000,7375.000000,7500.000000,7265.049316,22931300
2019-04-09,7575.000000,7725.000000,7550.000000,7675.000000,7434.566895,30718900
2019-04-10,7650.000000,7675.000000,7525.000000,7550.000000,7313.482910,15276300
2019-04-11,7575.000000,7600.000000,7400.000000,7400.000000,7168.182129,35194500
2019-04-12,7350.000000,7400.000000,7300.000000,7325.000000,7095.531250,26686200
2019-04-15,7400.000000,7450.000000,7325.000000,7350.000000,7119.748047,24125500
2019-04-16,7375.000000,7625.000000,7350.000000,7625.000000,7386.133301,71533400
2019-04-17,7625.000000,7625.000000,7625.000000,7625.000000,7386.133301,0
2019-04-18,7800.000000,8125.000000,7775.000000,7800.000000,7555.651367,121671700
2019-04-19,7800.000000,7800.000000,7800.000000,7800.000000,7555.651367,0
2019-04-22,7800.000000,7875.000000,7650.000000,7750.000000,7507.217285,34990900
2019-04-23,7700.000000,7775.000000,7675.000000,7675.000000,7434.566895,32692300
2019-04-24,7700.000000,7725.000000,7625.000000,7675.000000,7434.566895,27704200
2019-04-25,7650.000000,7675.000000,7550.000000,7650.000000,7410.350098,55592600
2019-04-26,7550.000000,7800.000000,7475.000000,7725.000000,7483.000488,75348700
2019-04-29,7700.000000,7800.000000,7675.000000,7775.000000,7531.434570,56386500
2019-04-30,7825.000000,7875.000000,7725.000000,7725.000000,7483.000488,51621500
2019-05-01,7725.000000,7725.000000,7725.000000,7725.000000,7483.000488,0
2019-05-02,7700.000000,7725.000000,7625.000000,7700.000000,7458.783691,34471900
2019-05-03,7700.000000,7700.000000,7575.000000,7650.000000,7410.350098,30070800
2019-05-06,7500.000000,7575.000000,7325.000000,7525.000000,7289.266113,50478300
2019-05-07,7675.000000,7675.000000,7550.000000,7650.000000,7410.350098,34430900
2019-05-08,7500.000000,7575.000000,7450.000000,7525.000000,7289.266113,39958400
2019-05-09,7450.000000,7575.000000,7450.000000,7500.000000,7265.049316,45473500
2019-05-10,7550.000000,7575.000000,7375.000000,7475.000000,7240.832520,32504700
2019-05-13,7575.000000,7650.000000,7500.000000,7525.000000,7289.266113,41671400
2019-05-14,7450.000000,7525.000000,7400.000000,7450.000000,7216.615723,42991900
2019-05-15,7525.000000,7600.000000,7425.000000,7425.000000,7192.398926,56486200
2019-05-16,7350.000000,7450.000000,7250.000000,7350.000000,7119.748047,43240500
2019-05-17,7500.000000,7500.000000,7075.000000,7075.000000,6853.363281,29858300
2019-05-20,7000.000000,7275.000000,6975.000000,7225.000000,6998.664063,46723600
2019-05-21,7275.000000,7350.000000,7075.000000,7250.000000,7022.880859,64438600
2019-05-22,7325.000000,7400.000000,7225.000000,7300.000000,7071.314453,44126500
2019-05-23,7350.000000,7600.000000,7325.000000,7575.000000,7337.699707,32834400
2019-05-24,7600.000000,7775.000000,7575.000000,7700.000000,7458.783691,49575600
2019-05-27,7600.000000,7725.000000,7525.000000,7725.000000,7725.000000,72305500
2019-05-28,7700.000000,7700.000000,7350.000000,7375.000000,7375.000000,149390400
2019-05-29,7450.000000,7550.000000,7400.000000,7550.000000,7550.000000,44698700
2019-05-30,7550.000000,7550.000000,7550.000000,7550.000000,7550.000000,0
2019-05-31,7600.000000,7775.000000,7550.000000,7675.000000,7675.000000,86726500
2019-06-03,7675.000000,7675.000000,7675.000000,7675.000000,7675.000000,0
2019-06-04,7675.000000,7675.000000,7675.000000,7675.000000,7675.000000,0
2019-06-05,7675.000000,7675.000000,7675.000000,7675.000000,7675.000000,0
2019-06-06,7675.000000,7675.000000,7675.000000,7675.000000,7675.000000,0
2019-06-07,7675.000000,7675.000000,7675.000000,7675.000000,7675.000000,0
2019-06-10,7850.000000,7950.000000,7825.000000,7850.000000,7850.000000,104021200
2019-06-11,7875.000000,7900.000000,7800.000000,7875.000000,7875.000000,53570200
2019-06-12,7900.000000,7900.000000,7800.000000,7875.000000,7875.000000,34665400
2019-06-13,7875.000000,7900.000000,7700.000000,7825.000000,7825.000000,31741200
2019-06-14,7875.000000,7875.000000,7800.000000,7825.000000,7825.000000,30836100
2019-06-17,7900.000000,7900.000000,7800.000000,7800.000000,7800.000000,23634700
2019-06-18,7775.000000,7875.000000,7775.000000,7850.000000,7850.000000,52053100
2019-06-19,7900.000000,8000.000000,7875.000000,7975.000000,7975.000000,78307600
2019-06-20,8000.000000,8050.000000,7925.000000,7950.000000,7950.000000,46794600
2019-06-21,8000.000000,8025.000000,7900.000000,7975.000000,7975.000000,72959800
2019-06-24,7900.000000,8025.000000,7900.000000,7975.000000,7975.000000,35126100
